configuration,branch_cap,seed_orders,sweep,reactions,recovered,not_recovered,unknown,recovery_percent,search_completed_cases,common_completed_cases,paired_mean_cpu,paired_median_cpu,paired_p95_cpu,all_attempted_api_n,all_attempted_api_mean_cpu,all_attempted_worker_n,all_attempted_worker_mean_cpu
graft_c100_s1_uncut,100,1,False,1851,1489,362,0,80.4430037817396,1851,1403,0.0402521875238774,0.02969670499999999,0.08710490069999996,1851,0.0848607357093463,1851,1.0866846990815764
graft_c100_s1_sweep,100,1,True,1851,1834,17,0,99.0815775256618,1850,1403,0.9634951875666429,0.5196910309999999,2.8995332917999996,1851,3.8732025786293893,1851,4.896440961642357
graft_c100_s2_sweep,100,2,True,1851,1834,17,0,99.0815775256618,1847,1403,1.6193741029166073,0.850940643,5.256912944699997,1851,7.259800553296056,1851,8.297708859535387
graft_c100_s3_sweep,100,3,True,1851,1837,14,0,99.24365207995677,1847,1403,2.264664547920884,1.1591680969999998,7.441629043399993,1851,10.555895388172338,1851,11.604970146407348
graft_c100_s10_sweep,100,10,True,1851,1840,11,0,99.40572663425175,1799,1403,6.992635829553101,3.288780338,24.442855911299965,1851,33.211166234515396,1851,34.30979978336035
graft_c2000_s1_uncut,2000,1,False,1851,1508,338,5,81.46947595894112,1850,1403,0.08599267945830363,0.029725294000000013,0.15127624219999988,1851,0.5172902399367909,1851,1.5204220934629955
graft_c2000_s1_sweep,2000,1,True,1851,1834,15,2,99.0815775256618,1792,1403,4.316780377019957,0.9283417289999999,19.45285192239998,1851,30.05502021108536,1851,31.099149235008102
graft_c2000_s2_sweep,2000,2,True,1851,1834,13,4,99.0815775256618,1707,1403,8.282715697379901,2.1034312109999997,36.4696837491,1851,48.548643064447326,1851,49.60276659319287
graft_c2000_s3_sweep,2000,3,True,1851,1837,8,6,99.24365207995677,1650,1403,12.201323236507484,3.199883393,52.18702612519995,1851,61.88971216176985,1851,62.948949253376554
graft_c2000_s10_sweep,2000,10,True,1851,1835,4,12,99.13560237709346,1405,1403,43.842858464372775,10.187984177,198.76427021029997,1851,113.77653344243166,1851,114.84345375364667
slap_uncut,NA,NA,False,1851,1661,189,1,89.73527822798488,1848,1403,0.1049535947312901,0.0804601239999998,0.1729937672,1851,0.6587819956320907,1851,2.7872163684494855
slap_sweep,NA,NA,True,1851,1794,52,5,96.92058346839546,1820,1403,2.7934596539429792,1.2007407049999999,7.614718965199986,1851,9.895192787148028,1851,12.024726762290655
