configuration,policy,reactions,recovered,not_recovered,unknown,recovery_percent,common_completed_cases,mean_cpu,median_cpu,p95_cpu
graft_c100_s1_uncut,smaller_first,1851,1301,550,0,70.2863317125878,1403,0.020214075239486814,0.01433886099999998,0.0380498541
graft_c100_s1_uncut,larger_first,1851,1054,797,0,56.94219340896812,1403,0.02003811228439059,0.014664108000000009,0.04368600010000002
graft_c100_s1_uncut,bidirectional,1851,1489,362,0,80.4430037817396,1403,0.0402521875238774,0.02969670499999999,0.08710490069999996
graft_c100_s1_sweep,smaller_first,1851,1803,48,0,97.40680713128039,1403,0.44714783291518173,0.206733404,1.4937811388999993
graft_c100_s1_sweep,larger_first,1851,1779,72,0,96.11021069692059,1403,0.5163473546514612,0.253716926,1.7350222380999998
graft_c100_s1_sweep,bidirectional,1851,1834,17,0,99.0815775256618,1403,0.9634951875666429,0.5196910309999999,2.8995332917999996
graft_c100_s2_sweep,smaller_first,1851,1815,36,0,98.05510534846029,1403,0.7457071864732716,0.31840002100000003,2.6172408090999997
graft_c100_s2_sweep,larger_first,1851,1805,46,0,97.5148568341437,1403,0.8736669164433357,0.40931380999999994,3.1261270012999893
graft_c100_s2_sweep,bidirectional,1851,1834,17,0,99.0815775256618,1403,1.6193741029166073,0.850940643,5.256912944699997
graft_c100_s3_sweep,smaller_first,1851,1818,32,1,98.21717990275526,1403,1.0378485820577334,0.426958062,3.715950504199999
graft_c100_s3_sweep,larger_first,1851,1816,35,0,98.10913019989195,1403,1.2268159658631503,0.544527874,4.4600365655999985
graft_c100_s3_sweep,bidirectional,1851,1837,14,0,99.24365207995677,1403,2.264664547920884,1.1591680969999998,7.441629043399993
graft_c100_s10_sweep,smaller_first,1851,1827,23,1,98.7034035656402,1403,3.180122137533856,1.132239196,12.404681378599996
graft_c100_s10_sweep,larger_first,1851,1826,23,2,98.64937871420854,1403,3.8125136920192446,1.516726638,14.859896479499998
graft_c100_s10_sweep,bidirectional,1851,1840,11,0,99.40572663425175,1403,6.992635829553101,3.288780338,24.442855911299965
graft_c2000_s1_uncut,smaller_first,1851,1320,526,5,71.31280388978931,1403,0.04317036278474697,0.014479974000000007,0.04190965539999997
graft_c2000_s1_uncut,larger_first,1851,1067,781,3,57.644516477579685,1403,0.04282231667355666,0.014697130000000058,0.05076238129999987
graft_c2000_s1_uncut,bidirectional,1851,1508,338,5,81.46947595894112,1403,0.08599267945830363,0.029725294000000013,0.15127624219999988
graft_c2000_s1_sweep,smaller_first,1851,1802,41,8,97.35278227984873,1403,2.0247117677476836,0.24107613,11.62636763689999
graft_c2000_s1_sweep,larger_first,1851,1776,63,12,95.94813614262561,1403,2.2920686092722735,0.32934439099999996,11.704979760599997
graft_c2000_s1_sweep,bidirectional,1851,1834,15,2,99.0815775256618,1403,4.316780377019957,0.9283417289999999,19.45285192239998
graft_c2000_s2_sweep,smaller_first,1851,1814,26,11,98.00108049702864,1403,3.8486037346849606,0.40223258599999995,22.138131991999998
graft_c2000_s2_sweep,larger_first,1851,1797,35,19,97.08265802269044,1403,4.4341119626949395,0.6258790919999999,22.364576921499967
graft_c2000_s2_sweep,bidirectional,1851,1834,13,4,99.0815775256618,1403,8.282715697379901,2.1034312109999997,36.4696837491
graft_c2000_s3_sweep,smaller_first,1851,1815,20,16,98.05510534846029,1403,5.659452771662865,0.5744001109999999,31.144225959499995
graft_c2000_s3_sweep,larger_first,1851,1799,24,28,97.19070772555375,1403,6.541870464844619,1.03768983,34.690241864199976
graft_c2000_s3_sweep,bidirectional,1851,1837,8,6,99.24365207995677,1403,12.201323236507484,3.199883393,52.18702612519995
graft_c2000_s10_sweep,smaller_first,1851,1815,8,28,98.05510534846029,1403,20.389702380994297,2.2639412720000003,118.74487814139995
graft_c2000_s10_sweep,larger_first,1851,1784,10,57,96.38033495407888,1403,23.453156083378474,3.680432883,119.7569135404999
graft_c2000_s10_sweep,bidirectional,1851,1835,4,12,99.13560237709346,1403,43.842858464372775,10.187984177,198.76427021029997
slap_uncut,smaller_first,1851,1649,199,3,89.08698001080496,1403,0.05811444476621525,0.040458658000000036,0.0942008093999999
slap_uncut,larger_first,1851,1643,208,0,88.76283090221501,1403,0.046839149965074836,0.04011752099999999,0.08518061080000006
slap_uncut,bidirectional,1851,1661,189,1,89.73527822798488,1403,0.1049535947312901,0.0804601239999998,0.1729937672
slap_sweep,smaller_first,1851,1771,71,9,95.67801188546731,1403,1.4734010535923021,0.566586802,3.517272467999998
slap_sweep,larger_first,1851,1770,79,2,95.62398703403565,1403,1.3200586003506771,0.6143322579999999,4.0471348699
slap_sweep,bidirectional,1851,1794,52,5,96.92058346839546,1403,2.7934596539429792,1.2007407049999999,7.614718965199986
