case,mode,branches,families,patterns,minimum,new_vs_local,search_cpu,decode_cpu,max_eaten,pending,total_cpu,native_slap_total,native_slap_recovered,slap_sweep_total,slap_sweep_recovered
6,none,7627,7798,3,4,0,0,6.985655,0,0,6.985655,2,2,4,3
6,local,8021,8253,5,4,0,1.114562,7.413229,1,117,8.527791,2,2,4,4
6,anchored,8122,8447,3,4,0,1.30585,7.329207,34,45,8.635057,2,2,4,3
6,free,8107,8821,3,4,0,1.78521,7.588812,34,122,9.374022,2,2,4,3
6,extended,9968,10529,4,4,1,3.5888910000000003,9.227701000000001,34,508,12.816592000000002,2,2,4,3
11,none,134,160,1,4,0,0,1.788602,0,0,1.788602,1,0,2,1
11,local,599,674,2,4,0,1.447289,2.959304,1,226,4.406593,1,1,2,2
11,anchored,234,302,2,4,1,0.610148,2.227995,72,0,2.838143,1,0,2,1
11,free,174,262,1,4,0,0.573695,2.1590789999999997,72,0,2.7327739999999996,1,0,2,1
11,extended,30530,31948,1,4,0,66.145044,84.185281,72,511,150.33032500000002,1,0,2,1
59,none,16,27,9,2,0,0,0.02865200000000001,0,0,0.02865200000000001,1,0,1,1
59,local,187,211,11,2,0,0.145646,0.15799200000000002,1,145,0.303638,1,1,1,1
59,anchored,22,43,9,2,0,0.021319000000000032,0.045391000000000015,16,0,0.06671000000000005,1,0,1,1
59,free,22,51,9,2,0,0.03218199999999999,0.05236299999999999,16,0,0.08454499999999998,1,0,1,1
59,extended,211,240,10,2,0,0.18261300000000003,0.15060599999999996,16,203,0.333219,1,0,1,1
64,none,17,58,8,4,0,0,0.042508999999999963,0,0,0.042508999999999963,6,0,5,2
64,local,132,208,27,4,0,0.15101699999999996,0.172553,1,46,0.32356999999999997,6,1,5,3
64,anchored,17,59,8,4,0,0.014036999999999966,0.04773100000000002,17,0,0.06176799999999999,6,0,5,2
64,free,27,71,8,4,0,0.04062300000000002,0.056213999999999986,17,0,0.096837,6,0,5,2
64,extended,94,187,24,4,9,0.20798899999999998,0.15729800000000002,17,66,0.36528700000000003,6,0,5,3
101,none,23,82,1,4,0,0,0.25059400000000004,0,0,0.25059400000000004,2,1,2,1
101,local,411,874,2,4,0,0.551415,0.6888479999999999,1,60,1.240263,2,2,2,2
101,anchored,34,122,2,4,0,0.08026699999999998,0.29900499999999997,17,0,0.37927199999999994,2,2,2,2
101,free,35,122,1,4,0,0.070071,0.298425,17,0,0.368496,2,1,2,1
101,extended,1483,2362,2,4,0,1.362339,1.28837,17,94,2.650709,2,2,2,2
